#漢字	音標	解釋
期	kʰi21	日～
旗	kʰi21	红～
忌	ki55	禁～，～讳，～日[文]
疑	ȵi21	怀～
擬	ȵi31	～人
嬉	ʃi33	玩，～戏
煕	ʃi33	康～
喜	ʃi31	～欢
嘻	ʃi33	～皮笑脸
医	ji33	～生
意	ji55	～思
怡	ji21	心旷神～；人名用字
已	ki55	～经
以	ji33	可～，～为
异	ji55	～同
几	ki33	～乎
机	ki33	～会，飞～
譏	ki33	～笑
饥	ki33	～荒
几	ki31	～只
几	ki33	～何
既	ki55	～然
豈	kʰi31	～有此理
气	ʃi55	～人，空～
汽	ʃi55	～水，～车
祈	kʰi21	～祷
毅	ȵi55	～力
希	ʃi33	～望
稀	ʃi33	～少
衣	ji33	外～；花生皮
依	ji33	～靠
累	li55	积～
