#漢字	音標	解釋
齋	tsai44	斋：吃斋
豺	tsʰai13	豺：豺狼虎豹
皆	kai44	皆：皆大欢喜
階	kai44	阶：台阶，阶段，阶级
偕	hai22	偕：白头偕老，偕同
稭	kai52	稭：麦稭
介	kai52	介：介绍，中介
界	kai52	界：世界，边界
芥	kai52	芥：芥菜
尬	kai52	尬：尴尬
疥	kai52	疥：疥疮
屆	kai52	届：第一届，届时
戒	kai52	戒：戒指，戒烟，猪八戒
揩	kʰai45	揩：擦，揩油
楷	kʰai31	楷：楷书，大楷
諧	hai22	谐：谐音，和谐
駭	hai52	骇：骇人听闻，惊骇
械	hai52	械：机械
挨	ai33	挨：挨近，挨住
擺	pai31	摆：摇摆，摆架子，放
派	pʰai52	派：派他去，派出所，老派
簰	pʰai22	排：竹排
牌	pʰai22	牌：牌坊，打牌
罷	pʰa52	罢：罢工，与“了”相当的助词
稗	pʰai52	稗：雄性的稻子，不能生谷
買	mai33	买：买进
賣	mai52	卖：卖掉
奶	nai44	奶：喂奶，奶奶
債	tsai52	债：讨债，还债
釵	tsʰa33	钗：宝钗，钗子
差	tsʰai33	差：出差
柴	tʂʰai22	柴：火柴，柴火
篩	si44	筛：筛酒，筛子，筛选
灑	sa31	洒：洒水
曬	sai52	晒：晒谷，晒衣服，晒太阳
佳	ka33	佳：人名用字
街	kai33	街：大街
解	kai31	解：讲解，解释
懈	hai52	懈：身体没劲，浆糊失去黏性，丧失兴趣，关系由密切变得疏远，松懈
涯	ŋai13	涯：天涯
崖	ŋai13	崖：悬崖
捱	ai44	捱：捱打
鞋	hai22	鞋：布鞋，草鞋，皮鞋
解	hai52	解：姓
解	kai31	解：知道，懂了
蟹	hai31	蟹：八足二螯
矮	ai31	矮：个子矮
隘	ai52	隘：狭隘
敗	pʰai52	败：打败，失败
邁	mai31	迈：老迈，迈步
寨	tsʰai52	寨：山寨，大寨
蔽	pi52	蔽：隐蔽
敝	pi52	敝：敝人
弊	pi52	弊：作弊
幣	pi52	币：人民币
斃	pi52	毙：枪毙
例	li52	例：举例，例子
厲	li52	厉：严厉，厉害
勵	li52	励：鼓励
祭	ki52	祭：祭祀
際	tsi52	际：国际
滯	tʂʰɛʔ055	滞：停滞，滞湿(中医用语)，滞后
制	tʂʅ52	制：制度
製	tʂʅ52	製：制造
世	ʂʅ52	世：世界
勢	ʂʅ52	势：势力，有钱有势
誓	ʂʅ52	誓：发誓
逝	ʂʅ52	逝：去逝
藝	ni52	艺：艺术，文艺
